Geographic code,Geographic name,"Population density per square kilometre, 2016",Average July High Temp F,Average July Low Temp F
3520,Toronto,4334.4,78,63
2466,Montréal,3889.8,79,64
2465,Laval,1710.9,78,63
2458,Longueuil,1471.8,81,62
4611,Division No.11,1240.1,74,50
3521,Peel,1108.1,81,60
2423,Québec,1038.3,78,61
5915,Greater Vancouver,854.6,71,57
2481,Gatineau,805.8,79,60
2473,Thérèse-De Blainville,758.2,79,58
3519,York,629.9,80,62
2464,Les Moulins,606.1,80,60
3524,Halton,568.9,80,59
2460,L'Assomption,488,79,58
3525,Hamilton,480.6,81,62
2443,Sherbrooke,456,78,56
2467,Roussillon,404.5,80,59
2472,Deux-Montagnes,403.4,79,63
3530,Waterloo,390.9,79,59
3506,Ottawa,334.8,80,60
2425,Lévis,319.4,78,59
2475,La Rivière-du-Nord,284.2,79,59
3518,Durham,255.9,78,58
3526,Niagara,241.5,80,64
2459,Marguerite-D'Youville,224.1,,
3537,Essex,215.5,82,63
2457,La Vallée-du-Richelieu,211.4,79,59
2471,Vaudreuil-Soulanges,174.6,79,56
5917,Capital,163.8,80,60
2461,Joliette,159.2,80,59
2447,La Haute-Yamaska,138.7,78,60
3539,Middlesex,137.3,81,59
2470,Beauharnois-Salaberry,136.5,80,60
2437,Francheville,131.7,78,56
2456,Le Haut-Richelieu,125.5,80,59
3529,Brant,123.3,81,60
4806,Division No.6,118.4,78,55
2474,Mirabel,104.1,78,57
3543,Simcoe,98.7,79,58
4811,Division No.11,86.5,74,50
2453,Pierre-De Saurel,85.4,80,61
3523,Wellington,83.7,81,61
5921,Nanaimo,76.4,73,59
2455,Rouville,75.6,79,59
2463,Montcalm,74,80,59
1209,Halifax,73.4,73,57
2436,Shawinigan,67.2,77,57
5935,Central Okanagan,67.1,76,50
2454,Les Maskoutains,66.9,80,60
2449,Drummond,64.6,79,61
2477,Les Pays-d'en-Haut,61.3,77,55
2401,Les Îles-de-la-Madeleine,59.3,74,60
3532,Oxford,54.4,78,57
1301,Saint John,50.6,74,54
3553,Greater Sudbury,49.9,78,56
3534,Elgin,47.3,77,59
3502,Prescott and Russell,44.6,80,58
3538,Lambton,42.2,80,60
3522,Dufferin,41.5,76,55
3536,Chatham-Kent,41.3,82,64
1307,Westmorland,40.8,76,55
1102,Queens (Charlotte),40.6,63,53
2426,La Nouvelle-Beauce,40.6,76,56
1217,Cape Breton,40,70,48
3510,Frontenac,39.7,80,57
5926,Comox-Strathcona,39.1,74,55
2445,Memphrémagog,38.2,77,62
2439,Arthabaska,38.1,77,58
3528,Haldimand-Norfolk,37.9,81,60
2420,L'Île-d'Orléans,36.7,77,58
3515,Peterborough,35.9,79,60
2446,Brome-Missisquoi,35.3,77,58
2468,Les Jardins-de-Napierville,34.7,79,58
3531,Perth,34.6,80,57
3501,"Stormont, Dundas and Glengarry",34.3,78,57
2452,D'Autray,33.8,78,58
3507,Leeds and Grenville,29.7,75,55
1001,Division No.1,29.3,71,45
4613,Division No.13,29,78,57
1207,Kings,28.5,78,56
2448,Acton,26.9,80,54
2429,Beauce-Sartigan,26.8,76,52
2412,Rivière-du-Loup,26.6,73,55
2476,Argenteuil,25.8,78,57
3516,Kawartha Lakes,24.5,78,58
5919,Cowichan Valley,24.1,71,46
2482,Les Collines-de-l'Outaouais,23.9,78,55
3513,Prince Edward,23.5,81,61
2450,Nicolet-Yamaska,23,78,58
2427,Robert-Cliche,22.8,76,55
3509,Lanark,22.6,80,57
3512,Hastings,22.4,79,57
5909,Fraser Valley,22.2,76,55
1103,Prince,22.1,64,51
2431,Les Appalaches,22.1,74,57
2442,Le Val-Saint-François,21.9,77,56
2419,Bellechasse,21.3,75,55
4808,Division No.8,21.1,72,48
2410,Rimouski-Neigette,20.9,73,53
3542,Grey,20.8,,
1305,Kings,19.8,76,55
2433,Lotbinière,19.1,78,57
2469,Le Haut-Saint-Laurent,19.1,81,59
2493,Lac-Saint-Jean-Est,19,74,55
2478,Les Laurentides,18.5,75,53
4711,Division No.11,18.2,,
2432,L'Érable,18.2,76,56
2440,Les Sources,18.1,77,56
2438,Bécancour,17.8,78,57
3540,Huron,17.4,77,58
4602,Division No.2,17.1,,
3541,Bruce,16.7,,
1315,Gloucester,16.5,79,60
1206,Lunenburg,16.2,70,60
1306,Albert,16.1,,
3544,Muskoka,15.4,77,51
1212,Pictou,15.4,77,57
2451,Maskinongé,15.2,,
3511,Lennox and Addington,15.1,81,59
4706,Division No.6,15,78,55
1210,Colchester,13.9,81,63
1208,Hants,13.9,77,57
2444,Coaticook,13.8,76,56
3547,Renfrew,13.7,80,55
2422,La Jacques-Cartier,13.6,73,51
2434,Portneuf,13.5,78,57
2418,Montmagny,13.4,76,57
1214,Antigonish,13.2,76,56
4612,Division No.12,12.7,78,51
1310,York,12.2,80,62
1202,Yarmouth,11.5,72,55
5937,North Okanagan,11.2,77,49
4607,Division No.7,10.9,,
4603,Division No.3,10.4,,
1303,Sunbury,10.3,,
1101,Kings,10.2,,
2441,Le Haut-Saint-François,9.8,,
4802,Division No.2,9.6,,
1313,Madawaska,9.5,,
2414,Kamouraska,9.4,,
2428,Les Etchemins,9.1,,
2417,L'Islet,8.5,,
4609,Division No.9,8.2,,
5907,Okanagan-Similkameen,8,,
2409,La Mitis,8,73,54
5929,Sunshine Coast,7.9,65,44
1311,Carleton,7.9,80,57
2480,Papineau,7.8,76,53
2430,Le Granit,7.8,,
2411,Les Basques,7.7,,
1302,Charlotte,7.4,74,58
1216,Richmond,7.2,76,54
2486,Rouyn-Noranda,7,,
1211,Cumberland,7,73,53
1203,Digby,6.9,73,56
1308,Kent,6.7,82,64
2415,Charlevoix-Est,6.7,69,50
4614,Division No.14,6.6,,
1205,Annapolis,6.5,76,55
2408,Matane,6.4,71,54
2487,Abitibi-Ouest,6.2,74,50
4610,Division No.10,6.2,75,53
4819,Division No.19,5.9,,
2421,La Côte-de-Beaupré,5.8,68,45
1201,Shelburne,5.7,75,54
2402,Le Rocher-Percé,5.6,66,54
2462,Matawinie,5.3,76,52
2413,Témiscouata,5,75,56
3548,Nipissing,4.9,78,56
4810,Division No.10,4.8,75,53
5923,Alberni-Clayoquot,4.7,63,53
3549,Parry Sound,4.6,77,60
1215,Inverness,4.5,74,55
4715,Division No.15,4.4,75,53
3546,Haliburton,4.4,78,54
3551,Manitoulin,4.3,76,56
1204,Queens,4.3,,
2403,La Côte-de-Gaspé,4.2,71,47
2494,Le Saguenay-et-son-Fjord,4.1,,
1005,Division No.5,4.1,78,55
2406,Avignon,4.1,72,50
4801,Division No.1,4,,
5927,Powell River,4,72,56
2405,Bonaventure,4,73,55
1,Canada,3.9,,
5905,Kootenay Boundary,3.9,,
1008,Division No.8,3.8,72,48
1314,Restigouche,3.6,74,53
1309,Northumberland,3.5,74,60
1007,Division No.7,3.5,79,54
2416,Charlevoix,3.5,72,50
1312,Victoria,3.4,68,55
4805,Division No.5,3.3,75,55
1002,Division No.2,3.3,78,55
2407,La Matapédia,3.3,72,51
2488,Abitibi,3.2,78,54
5933,Thompson-Nicola,3,,
4813,Division No.13,2.9,78,57
1004,Division No.4,2.9,77,54
4803,Division No.3,2.8,75,50
1304,Queens,2.8,,
5903,Central Kootenay,2.7,,
5931,Squamish-Lillooet,2.6,,
4606,Division No.6,2.6,78,55
4707,Division No.7,2.5,79,54
1218,Victoria,2.5,,
5924,Strathcona,2.4,,
1006,Division No.6,2.4,78,55
2479,Antoine-Labelle,2.4,,
3554,Timiskaming,2.4,76,54
4615,Division No.15,2.4,,
4608,Division No.8,2.4,,
2435,Mékinac,2.4,,
3557,Algoma,2.3,,
4709,Division No.9,2.3,,
5901,East Kootenay,2.2,,
4807,Division No.7,2.2,,
2404,La Haute-Gaspésie,2.2,72,55
4604,Division No.4,2.2,,
4812,Division No.12,2.1,,
4717,Division No.17,2.1,79,53
4701,Division No.1,2.1,,
4705,Division No.5,2.1,78,55
4618,Division No.18,2.1,78,54
4616,Division No.16,2.1,75,53
5953,Fraser-Fort George,1.9,,
1213,Guysborough,1.9,74,55
5939,Columbia-Shuswap,1.8,,
2489,La Vallée-de-l'Or,1.8,,
2491,Le Domaine-du-Roy,1.8,,
